predictor,mean,lb,ub,survival,sig,dotColor1,dotColor2,dotColor
Male,0.056880640414164914,0.05688064041416497,0.05688064041416497,1,1,1,2,2
AGE,0.0,0.0,0.0,0,0,0,1,0
EDU_YRS,-0.047487387098883,-0.047487387098882956,-0.047487387098882956,1,1,1,2,2
IMT_COMM_errors,0.04420488297569757,0.04420488297569753,0.04420488297569753,1,1,1,2,2
IMT_OMIS_errors,0.016093569445351744,0.01609356944535177,0.01609356944535177,1,1,1,2,2
A_IMT,0.0,0.0,0.0,0,0,0,1,0
B_D_IMT,0.0,0.0,0.0,0,0,0,1,0
Stop_ssrt,-0.0007162403017925895,-0.0007162403017925895,-0.0007162403017925895,1,1,1,2,2
lnk_adjdd,0.0,0.0,0.0,0,0,0,1,0
lkhat_Kirby,0.0,0.0,0.0,0,0,0,1,0
REVLR_per_errors,0.0,0.0,0.0,0,0,0,1,0
BIS_attention,0.0,0.0,0.0,0,0,0,1,0
BIS_motor,0.18726381658716687,0.18726381658716684,0.18726381658716684,1,1,1,2,2
BIS_NonPL,0.17912377377000513,0.17912377377000532,0.17912377377000532,1,1,1,2,2
IGT_TOTAL,-0.022704684955299904,-0.022704684955299904,-0.022704684955299904,1,1,1,2,2
