predictor,mean,lb,ub,survival,sig,dotColor1,dotColor2,dotColor
Male,0.0,0.0,0.0,0,0,0,1,0
AGE,0.5633224393107098,0.5633224393107095,0.5633224393107095,1,1,1,2,2
EDU_YRS,-0.7516657083632537,-0.7516657083632536,-0.7516657083632536,1,1,1,2,2
IMT_COMM_errors,0.035753144769140495,0.03575314476914059,0.03575314476914059,1,1,1,2,2
IMT_OMIS_errors,0.0,0.0,0.0,0,0,0,1,0
A_IMT,-0.4818419788892546,-0.48184197888925345,-0.48184197888925345,1,1,1,2,2
B_D_IMT,0.0,0.0,0.0,0,0,0,1,0
Stop_ssrt,0.0,0.0,0.0,0,0,0,1,0
lnk_adjdd,0.29728180054498315,0.29728180054498354,0.29728180054498354,1,1,1,2,2
lkhat_Kirby,0.0,0.0,0.0,0,0,0,1,0
REVLR_per_errors,0.0,0.0,0.0,0,0,0,1,0
BIS_attention,0.0,0.0,0.0,0,0,0,1,0
BIS_motor,0.8348956665613707,0.8348956665613717,0.8348956665613717,1,1,1,2,2
BIS_NonPL,0.7195843387866094,0.7195843387866094,0.7195843387866094,1,1,1,2,2
IGT_TOTAL,-0.32910893750233666,-0.32910893750233666,-0.32910893750233666,1,1,1,2,2
